user1 user2
040914 5315693
040914 862021
862021 64173268
862021 62326951
862021 1619051
862021 51281361
862021 42976468
862021 161567
862021 31385139
862021 26503852
862021 4571136
862021 20372423
161567 40551206
161567 17164547
161567 82732812
161567 9051337
161567 3239
161567 12051090
161567 337516
161567 10634353
161567 55294163
161567 54583644
54583644 26090193
54583644 9548371
54583644 27255263
54583644 124990
54583644 3046998
54583644 39907188
54583644 58935649
54583644 23364089
54583644 28847748
54583644 18923219
337516 9586041
337516 8065609
337516 15516973
337516 73425771
337516 161567
337516 25850809
337516 2018789
337516 40355454
337516 25908
337516 58481018
2018789 71321389
2018789 11688
2018789 469326
2018789 62804925
2018789 337516
2018789 63570618
2018789 2246994
2018789 140844
2018789 49530636
2018789 36003530
26503852 25636039
26503852 862021
26503852 3780395
26503852 7031905
